TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-18 11:46:00,149,26.68805,-18.81073
2022-03-18 11:45:00,127,26.80805,-18.80191
2022-03-18 11:41:00,144,26.68915,-18.81137
2022-03-18 11:40:00,131,26.80907,-18.80133
2022-03-18 11:36:00,136,26.69031,-18.81204
2022-03-18 11:35:00,135,26.81008,-18.80068
2022-03-18 11:31:00,136,26.69137000000001,-18.8127
2022-03-18 11:30:00,137,26.81115,-18.80006
2022-03-18 11:26:00,124,26.69235,-18.81347
2022-03-18 11:25:00,142,26.81222,-18.79939
2022-03-18 11:21:00,132,26.69322,-18.81425
2022-03-18 11:20:00,139,26.81335,-18.79881
2022-03-18 11:16:00,128,26.69413,-18.81508
2022-03-18 11:15:00,129,26.81445,-18.79818
2022-03-18 11:11:00,134,26.69512000000001,-18.81574
2022-03-18 11:10:00,141,26.81556,-18.79774
2022-03-18 11:06:00,122,26.69617,-18.81638
2022-03-18 11:05:00,147,26.81661,-18.79701
2022-03-18 11:01:00,129,26.69711,-18.81699
2022-03-18 11:00:00,135,26.81769,-18.79618
2022-03-18 10:56:00,131,26.69816,-18.81749
2022-03-18 10:55:00,150,26.81874,-18.79556
2022-03-18 10:51:00,140,26.69923,-18.81807
2022-03-18 10:50:00,140,26.81997,-18.79493
2022-03-18 10:46:00,134,26.70036,-18.81868
2022-03-18 10:45:00,147,26.821040000000004,-18.79428
2022-03-18 10:41:00,151,26.70146,-18.81914
2022-03-18 10:40:00,159,26.822340000000004,-18.79392
2022-03-18 10:36:00,154,26.7027,-18.81968
2022-03-18 10:35:00,157,26.82359000000001,-18.793470000000006
2022-03-18 10:31:00,139,26.70398,-18.82022000000001
2022-03-18 10:30:00,166,26.82491,-18.79288
2022-03-18 10:26:00,138,26.70516,-18.82077
2022-03-18 10:25:00,158,26.82622000000001,-18.79209
2022-03-18 10:21:00,137,26.70619000000001,-18.82149
2022-03-18 10:20:00,152,26.82744000000001,-18.7915
2022-03-18 10:16:00,132,26.70727,-18.82216
2022-03-18 10:15:00,164,26.82876,-18.79092
2022-03-18 10:11:00,142,26.7084,-18.82264
2022-03-18 10:10:00,154,26.83009,-18.790370000000006
