TimeStamp,Pressure,Temperature,Conductivity,Latitude(deg),Longitude(deg)
2022-03-18 02:02:00,0.25,19.4778,4.96355,26.954190000000004,-18.75469
2022-03-18 02:01:00,0.26,19.4629,4.9618699999999984,26.95444,-18.75452
2022-03-18 01:52:00,0.25,19.492,4.96515,26.95673,-18.75308
2022-03-18 01:51:00,0.27,19.4765,4.962969999999999,26.95696,-18.75297
2022-03-18 01:42:00,0.290000000000001,19.4786,4.96325,26.95908,-18.75114
2022-03-18 01:41:00,0.25,19.4804,4.96355,26.95929000000001,-18.75103
2022-03-18 01:32:00,0.25,19.4725,4.9626,26.96138,-18.74936
2022-03-18 01:31:00,0.26,19.4887,4.9648400000000015,26.96164000000001,-18.74911
2022-03-18 01:22:00,0.27,19.4928,4.9649199999999984,26.96388,-18.74746
2022-03-18 01:21:00,0.2799999999999989,19.4841,4.96389,26.96406,-18.74736
2022-03-18 01:12:00,0.24,19.5116,4.96747,26.96633,-18.74588
2022-03-18 01:11:00,0.26,19.5112,4.96724,26.96652000000001,-18.74575
2022-03-18 01:02:00,0.25,19.5056,4.96665,26.96876,-18.74415
2022-03-18 01:01:00,0.25,19.503,4.96637,26.96891,-18.74398
2022-03-18 00:52:00,0.25,19.5086,4.96676,26.97118,-18.74245
2022-03-18 00:51:00,0.300000000000001,19.5109,4.96698,26.97147,-18.74226
2022-03-18 00:42:00,0.2799999999999989,19.4985,4.96569,26.97367,-18.74053
2022-03-18 00:41:00,0.24,19.5101,4.96726,26.97387,-18.7404
2022-03-18 00:32:00,0.24,19.501,4.96597,26.97602,-18.73881
2022-03-18 00:31:00,0.23,19.4901,4.96494,26.97624,-18.73865
2022-03-18 00:22:00,0.300000000000001,19.5016,4.9656,26.9784,-18.73708
2022-03-18 00:21:00,0.24,19.5068,4.96645,26.97865,-18.73692
2022-03-18 00:12:00,0.24,19.5042,4.9666,26.98077,-18.73533
2022-03-18 00:11:00,0.26,19.5117,4.96696,26.981,-18.73514
2022-03-18 00:02:00,0.24,19.518,4.96744,26.98306,-18.73361
2022-03-18 00:01:00,0.290000000000001,19.5207,4.96785,26.98324,-18.73351
2022-03-17 23:52:00,0.24,19.5122,4.96672,26.98559,-18.7323
2022-03-17 23:51:00,0.290000000000001,19.5092,4.96635,26.98578,-18.73224
2022-03-17 23:42:00,0.210000000000001,19.5328,4.9692,26.98787,-18.73076
