TimeStamp,Oxygen,Salinity (PSU),DO,Latitude(deg),Longitude(deg)
2022-03-18 05:11:00,3710.7,36.831,104.62142873829112,26.90831,-18.77626
2022-03-18 05:02:00,3699.9,36.8368,105.86543254901619,26.91047,-18.77574
2022-03-18 05:01:00,3711.8,36.8371,105.0236384545255,26.91072,-18.77565
2022-03-18 04:52:00,3664.4,36.8376,104.32137501845939,26.91308,-18.77475
2022-03-18 04:51:00,3674.9,36.8383,104.79662324814664,26.91333,-18.77464
2022-03-18 04:42:00,3694.3,36.8453,105.8890167208898,26.91558,-18.77401
2022-03-18 04:41:00,3694.3,36.8458,104.72672211584496,26.91582,-18.77394
2022-03-18 04:32:00,3665.6,36.8447,104.72482435568209,26.917890000000003,-18.77335
2022-03-18 04:31:00,3681.5,36.8436,104.38628357794569,26.91811,-18.77324
2022-03-18 04:22:00,3681.1,36.8432,104.1789745969514,26.92053,-18.77212
2022-03-18 04:21:00,3677.7,36.8446,104.27767570947711,26.92077,-18.77203
2022-03-18 04:12:00,3685.8,36.8467,103.91244760388315,26.92306,-18.77114
2022-03-18 04:11:00,3685.9,36.8459,103.91741348084864,26.9233,-18.77108
2022-03-18 04:02:00,3701.8,36.8467,106.09519116329008,26.92552,-18.77019
2022-03-18 04:01:00,3689.3,36.8468,105.17393402249314,26.9258,-18.77004
2022-03-18 03:52:00,3669.9,36.847,103.86805507780825,26.92809,-18.7689
2022-03-18 03:51:00,3665.9,36.8473,104.53481805494026,26.92822,-18.76882
2022-03-18 03:42:00,3695.8,36.8481,104.37703947022507,26.93043,-18.76781
2022-03-18 03:41:00,3678.5,36.8463,104.88392522775963,26.93069,-18.76768
2022-03-18 03:32:00,3670.2,36.8486,104.26353184852614,26.9327,-18.76674
2022-03-18 03:31:00,3686.5,36.849,105.09813244560233,26.93297,-18.76665
2022-03-18 03:22:00,3692.5,36.8483,105.64824271522971,26.93525,-18.76542
2022-03-18 03:21:00,3692.4,36.8492,104.86458148145414,26.93551,-18.76527
2022-03-18 03:12:00,3672.4,36.8483,104.52092100517527,26.93781,-18.76411
2022-03-18 03:11:00,3643.4,36.847,103.73769891307298,26.93798,-18.764
2022-03-18 03:02:00,3654.1,36.8488,104.02269464405897,26.94003,-18.76267
2022-03-18 03:01:00,3660.6,36.8502,103.99936502948694,26.94022,-18.76251
2022-03-18 02:52:00,3713.2,36.8537,105.80661005840389,26.94231,-18.76145
2022-03-18 02:51:00,3701.8,36.8545,104.3280764623045,26.94251,-18.76135
2022-03-18 02:42:00,3710.9,36.8627,105.53098007274292,26.94467,-18.76036
2022-03-18 02:41:00,3686.3,36.8634,104.85853991289464,26.94483,-18.76015
2022-03-18 02:32:00,3725.4,36.8652,107.08238616884219,26.94702,-18.75909
2022-03-18 02:31:00,3717.8,36.8639,105.91024909259194,26.94731,-18.75893
2022-03-18 02:22:00,3727.0,36.8675,106.34340947406251,26.94939,-18.75791
2022-03-18 02:21:00,3705.0,36.8691,105.55241277595059,26.94961,-18.75767
2022-03-18 02:12:00,3686.8,36.8711,104.67101633112112,26.95177,-18.75651
2022-03-18 02:11:00,3733.3,36.8712,107.29554605094494,26.952,-18.75636
2022-03-18 02:02:00,3730.9,36.8697,106.06094328581463,26.954190000000004,-18.75469
2022-03-18 02:01:00,3744.9,36.8689,106.6337668221889,26.95444,-18.75452
2022-03-18 01:52:00,3715.0,36.8705,105.63105861054231,26.95673,-18.75308
2022-03-18 01:51:00,3673.3,36.866,104.89788898253134,26.95696,-18.75297
2022-03-18 01:42:00,3709.6,36.8665,106.27131037665633,26.95908,-18.75114
